Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Dancing With A Stranger (with Normani),Sam Smith,171029,77,2019-01-11,6Qs4SXO9dwPj5GKvVOv8Ki,0.45,0.741,0.52,0.52,0.52,0.0656,102.998,8,-7.513,1,4,0.347
In My Mind,Dynoro,184560,82,2018-06-08,0E9ZjEAyAwOXZ7wJC0PD33,0.176,0.694,0.77,0.77,0.77,0.149,125.905,6,-5.335,1,4,0.163
Reggaeton,J Balvin,158800,69,2018-11-17,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,0.74,0.74,0.74,0.191,176.059,4,-4.325,0,4,0.552
Nunca Es Suficiente,Los Ángeles Azules,266213,70,2018-06-08,63USmok1OioBzKuWGW9wAg,0.398,0.789,0.518,0.518,0.518,0.0406,94.001,2,-5.417,0,4,0.78
Ahora Te Puedes Marchar,Luis Miguel,191973,84,1987-07-15,1uKjQoh8JZj9ryuYRhpd7E,0.148,0.78,0.877,0.877,0.877,0.0427,133.263,6,-3.683,0,4,0.909
A Través del Vaso,Grupo Arranke,188661,69,2017-10-25,1x5Fqllow3ngr5euK3hXSw,0.36,0.613,0.694,0.694,0.694,0.0297,143.854,5,-2.978,1,3,0.92
Cuando Te Besé,Becky G,254383,70,2018-08-02,2XXMDz7SPZ4mSFN1PXfHUy,0.307,0.772,0.732,0.732,0.732,0.213,100.048,9,-3.713,0,4,0.295
Vaina Loca,Ozuna,176133,80,2018-08-24,48zFZh27QU5qsrBjn4C2FA,0.315,0.754,0.805,0.805,0.805,0.0752,93.982,6,-4.249,1,4,0.555
Bohemian Rhapsody - Remastered 2011,Queen,354320,76,1975-11-21,7tFiyTwD0nx5a1eklYtX2J,0.288,0.392,0.402,0.402,0.402,0.0536,143.883,0,-9.961,0,4,0.228
Old Town Road - Remix,Lil Nas X,157066,81,2019-06-21,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,0.619,0.619,0.619,0.102,136.041,6,-5.56,1,4,0.639
Swing,Danny Ocean,155058,74,2019-03-22,4DbhxwlkhTbCTqlZptxmI6,0.458,0.729,0.616,0.616,0.616,0.249,106.486,8,-6.422,1,4,0.532
Esclavo de Tus Besos,Manuel Turizo,219302,63,2019-02-15,3g4UyIcQwutiG0TfW32GnX,0.113,0.805,0.671,0.671,0.671,0.111,90.979,5,-5.316,1,4,0.522
Ya No Tiene Novio,Sebastian Yatra,198933,73,2018-08-10,7uQmJ1jgNzBpATSoWKSPFu,0.048,0.632,0.832,0.832,0.832,0.154,182.184,7,-1.948,0,4,0.784
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,185194,78,2019-07-25,6osaMSJh9NguagEDQcZaKx,0.278,0.694,0.758,0.758,0.758,0.218,192.091,11,-2.986,1,4,0.371
La Boca,Mau y Ricky,206279,71,2019-05-03,0UQwlF2pRkr1lMN6kNNUj3,0.0655,0.618,0.795,0.795,0.795,0.113,185.901,2,-1.8,1,4,0.76
Tra Tra Tra Remix - Remix,Ghetto Kids,171000,68,2019-06-20,4YqCBC4FwzGXuhixt5cgmm,0.0532,0.847,0.736,0.736,0.736,0.266,160.012,1,-4.542,1,4,0.876
Mala Fama,Danna Paola,182466,55,2019-03-28,6m9qNGeOq3Nvq7Qhal4t83,0.2,0.763,0.578,0.578,0.578,0.0852,175.959,6,-3.894,0,4,0.818
El Color de Tus Ojos,Banda MS de Sergio Lizárraga,202560,78,2017-04-21,1l77YWrGUp3qX3NS1rz7lq,0.278,0.765,0.339,0.339,0.339,0.0365,123.95,8,-8.965,1,4,0.864
Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,220116,80,2018-05-11,1j6xOGusnyXq3l6IryKF3G,0.0482,0.681,0.788,0.788,0.788,0.0785,170.019,1,-4.323,1,4,0.839
Bubalu,Becky G,228493,74,2018-11-06,7dNwJbsT0sg1le5kVugGJb,0.616,0.8,0.355,0.355,0.355,0.0895,145.929,6,-10.47,0,4,0.253
Amor A Primera Vista,Los Ángeles Azules,221346,60,2020-08-28,5Myb8S90Wg0yLec5kmrIGJ,0.228,0.678,0.821,0.821,0.821,0.0672,170.164,0,-6.017,1,4,0.96
Otro Trago - Remix,Sech,287773,74,2019-07-26,4bTZeO72FwMa6wKOiqoynL,0.0711,0.725,0.79,0.79,0.79,0.197,175.988,0,-2.331,1,4,0.763
Promises (with Sam Smith),Calvin Harris,213309,79,2018-08-17,5N5k9nd479b1xpDZ4usjrg,0.0119,0.781,0.768,0.768,0.768,0.0394,123.07,11,-5.991,1,4,0.486
Shallow,Lady Gaga,215733,87,2018-10-05,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,0.385,0.385,0.385,0.0308,95.799,7,-6.362,1,4,0.323
Believer,Imagine Dragons,204346,91,2017-06-23,0pqnGHJpmpxLKifKRmU6WP,0.0622,0.776,0.78,0.78,0.78,0.128,124.949,10,-4.374,0,4,0.666
